learner_id,age,level,learning_style,resource_id,resource_type,topic,difficulty,engagement_duration,completion,target
103,24,Beginner,Auditory,R018,Interactive,Grammar,4,496,0,Low
180,19,Advanced,Kinesthetic,R050,Audio,Culture,5,305,1,High
93,23,Advanced,Kinesthetic,R016,Interactive,Culture,3,67,1,Medium
15,24,Intermediate,Visual,R041,Video,Pronunciation,4,211,0,Low
107,31,Beginner,Kinesthetic,R018,Article,Pronunciation,2,451,0,Low
72,35,Beginner,Kinesthetic,R022,Audio,Pronunciation,1,270,1,Medium
189,32,Advanced,Kinesthetic,R002,Quiz,Grammar,2,426,1,Medium
21,19,Intermediate,Visual,R021,Video,Vocabulary,2,145,1,Medium
103,27,Beginner,Visual,R036,Quiz,Culture,4,114,0,Low
122,29,Intermediate,Auditory,R044,Article,Grammar,1,505,0,Low
75,34,Beginner,Visual,R039,Quiz,Grammar,3,363,0,Low
88,25,Advanced,Auditory,R047,Video,Pronunciation,2,191,1,Medium
117,28,Advanced,Kinesthetic,R039,Video,Pronunciation,1,480,1,High
100,20,Intermediate,Auditory,R029,Article,Grammar,3,444,1,Medium
104,23,Advanced,Auditory,R026,Video,Culture,2,257,1,Medium
152,26,Beginner,Kinesthetic,R021,Article,Culture,1,106,1,Medium
131,23,Advanced,Auditory,R017,Article,Grammar,4,262,0,Low
150,26,Intermediate,Visual,R016,Video,Vocabulary,2,320,0,Low
53,24,Intermediate,Visual,R031,Interactive,Vocabulary,2,83,0,Low
2,26,Intermediate,Visual,R009,Article,Culture,1,399,1,Medium
88,35,Beginner,Visual,R031,Video,Pronunciation,2,471,0,Low
158,29,Beginner,Auditory,R014,Interactive,Vocabulary,3,320,1,Medium
38,25,Beginner,Auditory,R049,Article,Vocabulary,2,345,0,Low
130,25,Beginner,Kinesthetic,R037,Interactive,Pronunciation,5,572,0,Low
192,35,Beginner,Auditory,R002,Audio,Vocabulary,3,145,1,Medium
188,32,Advanced,Auditory,R048,Audio,Grammar,1,489,0,Low
21,24,Beginner,Auditory,R046,Interactive,Vocabulary,3,90,0,Low
161,28,Beginner,Kinesthetic,R014,Article,Pronunciation,5,499,0,Low
58,33,Advanced,Visual,R033,Video,Grammar,5,408,0,Low
22,21,Beginner,Auditory,R035,Quiz,Vocabulary,2,471,0,Low
89,23,Intermediate,Kinesthetic,R039,Video,Culture,2,587,0,Low
49,20,Beginner,Kinesthetic,R047,Quiz,Grammar,4,369,0,Low
59,26,Beginner,Kinesthetic,R020,Quiz,Grammar,3,455,1,Medium
170,27,Intermediate,Visual,R002,Article,Culture,4,397,0,Low
188,31,Intermediate,Auditory,R041,Interactive,Culture,5,496,1,Medium
15,28,Intermediate,Kinesthetic,R019,Video,Vocabulary,2,424,0,Low
190,35,Intermediate,Visual,R037,Interactive,Vocabulary,2,172,1,Medium
190,29,Beginner,Kinesthetic,R018,Audio,Pronunciation,2,235,1,Medium
175,29,Intermediate,Kinesthetic,R016,Article,Pronunciation,1,208,0,Low
190,30,Intermediate,Kinesthetic,R004,Article,Grammar,5,237,1,High
51,30,Advanced,Kinesthetic,R012,Audio,Culture,2,441,1,Medium
108,31,Intermediate,Kinesthetic,R029,Video,Culture,5,282,0,Low
55,21,Intermediate,Visual,R007,Audio,Pronunciation,2,318,1,High
64,30,Advanced,Auditory,R014,Video,Grammar,3,248,0,Low
131,25,Advanced,Auditory,R012,Quiz,Grammar,5,365,1,Medium
51,29,Beginner,Auditory,R035,Article,Pronunciation,4,437,1,High
135,35,Advanced,Auditory,R005,Video,Pronunciation,1,402,1,Medium
21,23,Beginner,Visual,R017,Interactive,Pronunciation,4,215,1,High
73,35,Advanced,Visual,R042,Interactive,Vocabulary,5,114,0,Low
167,22,Advanced,Visual,R032,Article,Grammar,2,501,0,Low
18,26,Beginner,Kinesthetic,R010,Audio,Grammar,5,259,0,Low
132,20,Advanced,Kinesthetic,R043,Audio,Grammar,1,462,0,Low
89,27,Beginner,Kinesthetic,R017,Video,Pronunciation,5,236,0,Low
60,20,Advanced,Auditory,R005,Audio,Pronunciation,2,508,1,Medium
14,32,Intermediate,Kinesthetic,R045,Article,Pronunciation,4,600,0,Low
9,18,Advanced,Auditory,R042,Video,Pronunciation,3,360,1,High
90,24,Beginner,Kinesthetic,R009,Quiz,Culture,4,366,0,Low
53,29,Advanced,Auditory,R049,Audio,Pronunciation,2,326,0,Low
130,34,Beginner,Kinesthetic,R033,Audio,Vocabulary,2,273,0,Low
84,22,Beginner,Kinesthetic,R036,Video,Culture,1,542,0,Low
92,21,Intermediate,Visual,R036,Interactive,Culture,5,321,1,Medium
111,29,Intermediate,Kinesthetic,R018,Audio,Pronunciation,5,126,0,Low
188,35,Beginner,Kinesthetic,R009,Article,Grammar,4,192,1,High
199,34,Advanced,Visual,R029,Audio,Pronunciation,3,599,1,Medium
172,26,Beginner,Auditory,R050,Quiz,Grammar,3,571,0,Low
8,21,Beginner,Visual,R014,Audio,Pronunciation,1,270,1,Medium
175,19,Advanced,Visual,R025,Interactive,Pronunciation,2,312,1,Medium
35,21,Advanced,Auditory,R015,Audio,Grammar,1,97,0,Low
81,19,Advanced,Kinesthetic,R006,Video,Grammar,5,102,1,Medium
164,32,Advanced,Auditory,R042,Audio,Grammar,2,464,0,Low
50,19,Beginner,Kinesthetic,R029,Interactive,Grammar,1,105,0,Low
104,21,Beginner,Kinesthetic,R015,Video,Vocabulary,4,513,1,Medium
132,23,Intermediate,Auditory,R029,Article,Grammar,5,364,1,Medium
2,24,Beginner,Visual,R004,Video,Pronunciation,3,292,1,Medium
134,27,Advanced,Auditory,R018,Quiz,Pronunciation,1,304,1,High
54,29,Intermediate,Kinesthetic,R050,Video,Vocabulary,5,354,1,Medium
106,20,Advanced,Auditory,R049,Article,Grammar,5,442,1,Medium
4,30,Beginner,Auditory,R044,Audio,Pronunciation,3,217,1,Medium
54,35,Intermediate,Kinesthetic,R039,Video,Vocabulary,3,464,0,Low
191,25,Advanced,Visual,R016,Video,Pronunciation,3,60,0,Low
146,32,Intermediate,Auditory,R011,Video,Vocabulary,1,276,0,Low
44,18,Intermediate,Kinesthetic,R014,Video,Vocabulary,3,566,1,Medium
162,20,Beginner,Kinesthetic,R003,Article,Culture,4,89,1,Medium
190,25,Advanced,Auditory,R050,Interactive,Culture,5,579,1,Medium
14,21,Intermediate,Visual,R042,Interactive,Grammar,3,334,0,Low
95,33,Intermediate,Auditory,R038,Video,Culture,5,551,0,Low
48,27,Advanced,Visual,R045,Article,Vocabulary,2,95,0,Low
15,29,Intermediate,Visual,R042,Article,Pronunciation,2,370,1,Medium
200,31,Intermediate,Visual,R018,Video,Pronunciation,3,103,0,Low
190,31,Intermediate,Visual,R020,Quiz,Grammar,5,214,0,Low
40,19,Advanced,Auditory,R048,Video,Culture,2,136,1,Medium
82,22,Advanced,Kinesthetic,R025,Quiz,Grammar,3,497,0,Low
111,22,Advanced,Kinesthetic,R038,Video,Vocabulary,5,491,0,Low
53,23,Advanced,Kinesthetic,R013,Quiz,Culture,3,98,0,Low
24,30,Beginner,Kinesthetic,R004,Quiz,Grammar,5,298,1,Medium
154,26,Intermediate,Kinesthetic,R014,Video,Pronunciation,2,72,0,Low
188,32,Advanced,Kinesthetic,R033,Quiz,Pronunciation,3,181,1,High
124,31,Intermediate,Auditory,R028,Audio,Grammar,2,203,1,Medium
41,24,Intermediate,Visual,R037,Interactive,Grammar,3,514,0,Low
157,19,Beginner,Kinesthetic,R008,Article,Grammar,1,427,0,Low
15,24,Advanced,Auditory,R044,Quiz,Vocabulary,2,306,1,Medium
45,23,Advanced,Kinesthetic,R034,Quiz,Vocabulary,2,104,1,Medium
65,34,Intermediate,Kinesthetic,R044,Article,Pronunciation,4,434,1,High
89,19,Advanced,Visual,R005,Quiz,Vocabulary,2,350,1,Medium
71,20,Intermediate,Visual,R005,Article,Vocabulary,5,266,1,Medium
9,22,Intermediate,Visual,R031,Video,Culture,3,578,0,Low
88,22,Beginner,Kinesthetic,R045,Audio,Vocabulary,1,301,1,Medium
129,18,Beginner,Kinesthetic,R009,Audio,Culture,5,173,0,Low
