state,action,reward,next_state,done
"[-1.70813036  1.45674891  2.          0.         11.          4.
  0.         -1.41515516  1.25396243 -1.01613007  1.        ]",11.0,0.49193496351272803,"[-1.70813036  1.64923687  1.          1.         47.          3.
  0.         -0.70420055  1.70866094  0.98412598  0.        ]",0
"[-1.70813036  1.64923687  1.          1.         47.          3.
  0.         -0.70420055  1.70866094  0.98412598  0.        ]",47.0,0.492062988093972,"[-1.70813036 -0.66061869  1.          1.         46.          0.
  3.         -0.70420055  1.42687595  0.98412598  2.        ]",0
"[-1.70813036 -0.66061869  1.          1.         46.          0.
  3.         -0.70420055  1.42687595  0.98412598  2.        ]",46.0,2.4920629880939718,"[-1.70813036 -0.27564276  2.          0.         19.          1.
  2.          0.71770868  1.31800447  0.98412598  2.        ]",0
"[-1.70813036 -0.27564276  2.          0.         19.          1.
  2.          0.71770868  1.31800447  0.98412598  2.        ]",19.0,2.4920629880939718,"[-1.70813036  0.49430909  0.          1.         19.          0.
  3.          0.71770868 -1.58310011 -1.01613007  1.        ]",0
"[-1.70813036  0.49430909  0.          1.         19.          0.
  3.          0.71770868 -1.58310011 -1.01613007  1.        ]",19.0,0.49193496351272803,"[-1.70813036 -1.43057055  2.          0.          3.          0.
  1.          0.00675407 -1.59590852  0.98412598  2.        ]",0
"[-1.70813036 -1.43057055  2.          0.          3.          0.
  1.          0.00675407 -1.59590852  0.98412598  2.        ]",3.0,2.4920629880939718,"[-1.70813036e+00  1.07177298e+00  2.00000000e+00  2.00000000e+00
  4.60000000e+01  2.00000000e+00  3.00000000e+00  6.75406885e-03
 -1.03233853e+00  9.84125976e-01  2.00000000e+00]",0
"[-1.70813036e+00  1.07177298e+00  2.00000000e+00  2.00000000e+00
  4.60000000e+01  2.00000000e+00  3.00000000e+00  6.75406885e-03
 -1.03233853e+00  9.84125976e-01  2.00000000e+00]",46.0,2.4920629880939718,"[-1.70813036e+00 -8.53106655e-01  1.00000000e+00  0.00000000e+00
  9.00000000e+00  2.00000000e+00  2.00000000e+00  6.75406885e-03
  4.47032678e-01  9.84125976e-01  2.00000000e+00]",0
"[-1.70813036e+00 -8.53106655e-01  1.00000000e+00  0.00000000e+00
  9.00000000e+00  2.00000000e+00  2.00000000e+00  6.75406885e-03
  4.47032678e-01  9.84125976e-01  2.00000000e+00]",9.0,2.4920629880939718,"[-1.70813036  0.30182113  1.          0.         33.          2.
  0.         -1.41515516  0.67758404  0.98412598  2.        ]",0
"[-1.70813036  0.30182113  1.          0.         33.          2.
  0.         -1.41515516  0.67758404  0.98412598  2.        ]",33.0,2.4920629880939718,"[-1.70813036 -0.46813073  2.          1.         47.          2.
  1.          1.4286633   0.51107472 -1.01613007  1.        ]",0
"[-1.70813036 -0.46813073  2.          1.         47.          2.
  1.          1.4286633   0.51107472 -1.01613007  1.        ]",47.0,0.49193496351272803,"[-1.70813036  0.49430909  1.          1.         12.          2.
  0.          1.4286633  -1.03874274  0.98412598  2.        ]",0
